iter	Logloss
0	0.6559988084
1	0.6229263922
2	0.5959935852
3	0.578337397
4	0.5587271673
5	0.541550056
6	0.5266671854
7	0.5143563899
8	0.5070060259
9	0.4990481434
10	0.4906127061
11	0.4840785755
12	0.4765693338
13	0.4707456547
14	0.4651324309
15	0.4585640259
16	0.4541965803
17	0.4497551793
18	0.4461377339
19	0.4431786699
20	0.4392896741
21	0.4355173061
22	0.4328987126
23	0.4311696792
24	0.4281158258
25	0.4272569835
26	0.4253410797
27	0.4233653688
28	0.4217968919
29	0.4203075739
30	0.419443429
31	0.4180562533
32	0.4177906899
33	0.4167068385
34	0.416183644
35	0.4160886887
36	0.4147232534
37	0.4128986836
38	0.4128577436
39	0.4122185617
40	0.4107340432
41	0.4096783954
42	0.4094199222
43	0.4091596808
44	0.4075099767
45	0.4074711732
46	0.4068137659
47	0.4058444577
48	0.4049781349
49	0.4045530641
50	0.4043706608
51	0.4038967526
52	0.4031726142
53	0.4030610072
54	0.4026998826
55	0.4021294625
56	0.4017676115
57	0.4014786698
58	0.4013638894
59	0.4010448999
60	0.401012445
61	0.4009357445
62	0.4001730018
63	0.3992707289
64	0.399094317
65	0.3989146873
66	0.3987554752
67	0.3986544552
68	0.3985659059
69	0.3979645089
70	0.3978574136
71	0.3978201128
72	0.3973306934
73	0.3973027736
74	0.3971940654
75	0.3965019962
76	0.395572975
77	0.3955512303
78	0.3955142055
79	0.3947718446
80	0.3940156603
81	0.3937696601
82	0.393105273
83	0.3930261695
84	0.3929719333
85	0.3929484123
86	0.392879615
87	0.3928343589
88	0.3927188474
89	0.3925379113
90	0.3923036893
91	0.3922704768
92	0.3922008346
93	0.3918634347
94	0.3918228675
95	0.3917564338
96	0.3916963891
97	0.3915213093
98	0.3910244838
99	0.3909616231
