iter	Passed	Remaining
0	1	112
1	1	71
2	1	57
3	1	47
4	2	41
5	2	37
6	2	34
7	2	31
8	2	29
9	3	27
10	3	26
11	3	25
12	3	24
13	3	23
14	4	23
15	4	23
16	4	23
17	5	22
18	5	22
19	5	21
20	5	21
21	5	21
22	6	20
23	6	19
24	6	19
25	6	18
26	6	18
27	6	17
28	7	17
29	7	17
30	7	16
31	7	16
32	7	16
33	8	17
34	9	16
35	9	16
36	9	15
37	9	15
38	9	15
39	9	14
40	10	14
41	10	14
42	10	14
43	10	13
44	11	13
45	11	13
46	11	12
47	11	12
48	11	12
49	11	11
50	12	11
51	12	11
52	12	11
53	12	10
54	12	10
55	13	10
56	13	10
57	13	9
58	13	9
59	13	9
60	14	8
61	14	8
62	15	8
63	15	8
64	15	8
65	15	8
66	15	7
67	15	7
68	15	7
69	16	6
70	16	6
71	16	6
72	16	6
73	16	5
74	17	5
75	17	5
76	17	5
77	18	5
78	18	4
79	18	4
80	18	4
81	18	4
82	19	3
83	19	3
84	19	3
85	19	3
86	19	2
87	19	2
88	19	2
89	20	2
90	20	2
91	20	1
92	20	1
93	20	1
94	21	1
95	21	0
96	21	0
97	21	0
98	22	0
99	22	0
